gps_time,X_m,Y_m,Z_m
2024-01-01 03:30:00,-6872926.0139999995,-23576233.462,-10178466.481999999
2024-01-01 03:30:30,-6865922.219319138,-23614101.70840911,-10093319.261470621
2024-01-01 03:31:00,-6858985.187734302,-23651662.43723149,-10007979.224424379
2024-01-01 03:31:30,-6852113.645016221,-23688914.82152809,-9922448.000074204
2024-01-01 03:32:00,-6845306.316935624,-23725858.034359813,-9836727.217633042
2024-01-01 03:32:30,-6838561.92926324,-23762491.248787608,-9750818.506313834
2024-01-01 03:33:00,-6831879.207769794,-23798813.63787239,-9664723.495329516
2024-01-01 03:33:30,-6825256.87822602,-23834824.374675095,-9578443.813893035
2024-01-01 03:34:00,-6818693.666402644,-23870522.632256646,-9491981.091217328
2024-01-01 03:34:30,-6812188.2980703935,-23905907.583677974,-9405336.956515335
2024-01-01 03:35:00,-6805739.499,-23940978.402,-9318513.038999999
2024-01-01 03:35:30,-6799345.987999933,-23975734.277051494,-9231510.9739713
2024-01-01 03:36:00,-6793006.456029626,-24010174.46573257,-9144332.42107738
2024-01-01 03:36:30,-6786719.587086261,-24044298.241711173,-9056979.04605342
2024-01-01 03:37:00,-6780484.0651670145,-24078104.87865526,-8969452.514634607
2024-01-01 03:37:30,-6774298.574269065,-24111593.65023277,-8881754.492556123
2024-01-01 03:38:00,-6768161.798389589,-24144763.830111664,-8793886.645553147
2024-01-01 03:38:30,-6762072.421525768,-24177614.691959877,-8705850.639360864
2024-01-01 03:39:00,-6756029.127674777,-24210145.509445377,-8617648.139714457
2024-01-01 03:39:30,-6750030.600833796,-24242355.5562361,-8529280.812349109
2024-01-01 03:40:00,-6744075.525,-24274244.106,-8440750.323
2024-01-01 03:40:30,-6738162.578268135,-24305810.44966291,-8352058.342978175
2024-01-01 03:41:00,-6732290.415123193,-24337053.947182227,-8263206.565898101
2024-01-01 03:41:30,-6726457.684147734,-24367973.97577321,-8174196.690950108
2024-01-01 03:42:00,-6720663.033924318,-24398569.912651144,-8085030.417324524
2024-01-01 03:42:30,-6714905.113035503,-24428841.1350313,-7995709.444211677
2024-01-01 03:43:00,-6709182.570063846,-24458787.020128954,-7906235.470801896
2024-01-01 03:43:30,-6703494.05359191,-24488406.94515938,-7816610.1962855095
2024-01-01 03:44:00,-6697838.21220225,-24517700.28733784,-7726835.319852847
2024-01-01 03:44:30,-6692213.694477428,-24546666.423879623,-7636912.540694233
2024-01-01 03:45:00,-6686619.149,-24575304.732,-7546843.557999999
2024-01-01 03:45:30,-6681053.219538532,-24603614.606589854,-7456630.076010002
2024-01-01 03:46:00,-6675514.530605604,-24631595.51324253,-7366273.819162218
2024-01-01 03:46:30,-6670001.701899804,-24659246.93522698,-7275776.516944148
2024-01-01 03:47:00,-6664513.353119716,-24686568.35581216,-7185139.898843297
2024-01-01 03:47:30,-6659048.103963928,-24713559.258267023,-7094365.694347168
2024-01-01 03:48:00,-6653604.574131026,-24740219.125860523,-7003455.632943267
2024-01-01 03:48:30,-6648181.383319597,-24766547.44186162,-6912411.444119096
2024-01-01 03:49:00,-6642777.151228224,-24792543.68953926,-6821234.857362159
2024-01-01 03:49:30,-6637390.497555497,-24818207.3521624,-6729927.602159958
2024-01-01 03:50:00,-6632020.042,-24843537.913,-6638491.408
2024-01-01 03:50:30,-6626664.400558739,-24868534.87334267,-6546928.008880812
2024-01-01 03:51:00,-6621322.174422391,-24893197.806567658,-6455239.156845027
2024-01-01 03:51:30,-6615991.961080052,-24917526.304073866,-6363426.608446298
2024-01-01 03:52:00,-6610672.358020819,-24941519.957260214,-6271492.1202382855
2024-01-01 03:52:30,-6605361.962733787,-24965178.35752561,-6179437.448774645
2024-01-01 03:53:00,-6600059.3727080505,-24988501.096268952,-6087264.350609032
2024-01-01 03:53:30,-6594763.185432707,-25011487.764889155,-5994974.582295105
2024-01-01 03:54:00,-6589471.998396855,-25034137.954785123,-5902569.900386519
2024-01-01 03:54:30,-6584184.409089587,-25056451.257355772,-5810052.0614369325
2024-01-01 03:55:00,-6578899.015,-25078427.264000002,-5717422.822000001
2024-01-01 03:55:30,-6573614.411049511,-25100065.584411476,-5624683.94258975
2024-01-01 03:56:00,-6568329.181888831,-25121365.901462853,-5531837.199561679
2024-01-01 03:56:30,-6563041.909600986,-25142327.91632155,-5438884.373231661
2024-01-01 03:57:00,-6557751.176269009,-25162951.330154974,-5345827.243915562
2024-01-01 03:57:30,-6552455.5639759265,-25183235.84413055,-5252667.591929253
2024-01-01 03:58:00,-6547153.654804771,-25203181.159415673,-5159407.197588605
2024-01-01 03:58:30,-6541844.030838571,-25222786.977177773,-5066047.841209484
2024-01-01 03:59:00,-6536525.274160355,-25242052.998584248,-4972591.3031077655
2024-01-01 03:59:30,-6531195.966853155,-25260978.92480252,-4879039.363599313
2024-01-01 04:00:00,-6525854.691,-25279564.457000002,-4785393.803
2024-01-01 04:00:30,-6520500.027264211,-25297809.314834446,-4691656.405024194
2024-01-01 04:01:00,-6515130.550630283,-25315713.29192494,-4597828.966980261
2024-01-01 04:01:30,-6509744.834662999,-25333276.200380944,-4503913.289575065
2024-01-01 04:02:00,-6504341.452927144,-25350497.852311887,-4409911.173515473
2024-01-01 04:02:30,-6498918.978987504,-25367378.059827212,-4315824.419508345
2024-01-01 04:03:00,-6493475.986408863,-25383916.635036364,-4221654.828260552
2024-01-01 04:03:30,-6488011.048756009,-25400113.390048772,-4127404.200478956
2024-01-01 04:04:00,-6482522.739593722,-25415968.13697389,-4033074.3368704217
2024-01-01 04:04:30,-6477009.632486791,-25431480.687921155,-3938667.038141815
2024-01-01 04:05:00,-6471470.301,-25446650.855,-3844184.105
2024-01-01 04:05:30,-6465903.318436641,-25461478.468930766,-3749627.3409784758
2024-01-01 04:06:00,-6460307.2570540365,-25475963.43487739,-3654998.56091728
2024-01-01 04:06:30,-6454680.688848018,-25490105.676614683,-3560299.5824830825
2024-01-01 04:07:00,-6449022.185814413,-25503905.117917478,-3465532.2233425537
2024-01-01 04:07:30,-6443330.319949054,-25517361.682560604,-3370698.3011623654
2024-01-01 04:08:00,-6437603.663247772,-25530475.29431888,-3275799.6336091873
2024-01-01 04:08:30,-6431840.787706395,-25543245.876967132,-3180838.0383496913
2024-01-01 04:09:00,-6426040.265320754,-25555673.35428018,-3085815.3330505476
2024-01-01 04:09:30,-6420200.668086679,-25567757.650032863,-2990733.335378427
2024-01-01 04:10:00,-6414320.568,-25579498.688,-2895593.863
2024-01-01 04:10:30,-6408398.537960225,-25590896.410608485,-2800398.7358259014
2024-01-01 04:11:00,-6402433.154481571,-25601950.834893506,-2705149.782742619
2024-01-01 04:11:30,-6396422.9949819315,-25612661.996542323,-2609848.834880606
2024-01-01 04:12:00,-6390366.636879202,-25623029.93124219,-2514497.723370313
2024-01-01 04:12:30,-6384262.657591276,-25633054.67468037,-2419098.279342193
2024-01-01 04:13:00,-6378109.634536047,-25642736.262544125,-2323652.3339266973
2024-01-01 04:13:30,-6371906.145131411,-25652074.730520703,-2228161.7182542784
2024-01-01 04:14:00,-6365650.766795263,-25661070.11429737,-2132628.263455387
2024-01-01 04:14:30,-6359342.076945493,-25669722.449561384,-2037053.8006604775
2024-01-01 04:15:00,-6352978.653,-25678031.772,-1941440.161
2024-01-01 04:15:30,-6346559.074442459,-25685998.13591629,-1845789.1772619188
2024-01-01 04:16:00,-6340081.92901968,-25693621.670076586,-1750102.6888642432
2024-01-01 04:16:30,-6333545.806544256,-25700902.521863025,-1654382.5368824948
2024-01-01 04:17:00,-6326949.296828779,-25707840.83865775,-1558630.5623921945
2024-01-01 04:17:30,-6320290.989685843,-25714436.767842904,-1462848.606468864
2024-01-01 04:18:00,-6313569.474928038,-25720690.45680062,-1367038.5101880245
2024-01-01 04:18:30,-6306783.342367959,-25726602.052913047,-1271202.1146251967
2024-01-01 04:19:00,-6299931.181818198,-25732171.703562327,-1175341.260855903
2024-01-01 04:19:30,-6293011.5830913475,-25737399.5561306,-1079457.7899556635
2024-01-01 04:20:00,-6286023.136,-25742285.758,-983553.543
2024-01-01 04:20:30,-6278964.433582938,-25746830.47505535,-887630.3621234241
2024-01-01 04:21:00,-6271834.081783707,-25751033.947192147,-791690.0936964083
2024-01-01 04:21:30,-6264630.689772043,-25754896.432808574,-695734.5851484156
2024-01-01 04:22:00,-6257352.86671768,-25758418.190302808,-599765.6839089091
2024-01-01 04:22:30,-6249999.221790353,-25761599.47807302,-503785.23740735144
2024-01-01 04:23:00,-6242568.364159798,-25764440.55451739,-407795.0930732058
2024-01-01 04:23:30,-6235058.90299575,-25766941.678034097,-311797.09833593486
2024-01-01 04:24:00,-6227469.447467945,-25769103.107021313,-215793.10062500162
2024-01-01 04:24:30,-6219798.606746116,-25770925.099877223,-119784.94736986906
2024-01-01 04:25:00,-6212044.99,-25772407.915,-23774.486
2024-01-01 04:25:30,-6204207.210771787,-25773551.829096314,72236.43559661509
2024-01-01 04:26:00,-6196283.900093489,-25774357.192106824,168245.96769787668
2024-01-01 04:26:30,-6188273.693369571,-25774824.372280676,264252.2601231577
2024-01-01 04:27:00,-6180175.226004501,-25774953.737867028,360253.46269183117
2024-01-01 04:27:30,-6171987.133402744,-25774745.657115024,456247.72522326995
2024-01-01 04:28:00,-6163708.050968768,-25774200.49827382,552233.1975368471
